Date,Country,State(USA only),City,Title
24 Jun 2022, Japan,,Tokyo,Song and Aria Evening,"return overlib('Kosaku Yamada / Karatachi no Hana<BR>Kosaku Yamada / Red Dragonfly<BR>Saburo Takata / Gardenia<BR>Joe Hisaishi / Stand Alone<BR>Henry Mancini / Moon River<BR>Giacomo Puccini / The icy princess\'s heart is also from \""Tolandot\""<BR>Giacomo Puccini / Abandoned and lonely from \""Manon Re')"
24 Jun 2022, United Kingdom,,Great Yarmouth,BBC CO at Great Yarmouth Hippodrome: ‘Our World’,"return overlib('BBC Concert Orchestra<BR>Stephen Bell, conductor<BR>Sam Lee, guest<BR>Georgia Cécile, guest<BR><BR>As part of the BBC’s Go Green initiative, Radio 2 presents a musical celebration of ‘Our World’ in this unique event at Great Yarmouth’s Hippodrome Circus, with the BBC C')"
24 Jun 2022, Netherlands,,Den Haag (The Hague),Carl Orffs Carmina Burana (postponed),"return overlib('After the corona period, we are now experiencing another terrible situation: the war in Ukraine.<BR><BR>The concert will be performed by both the choir and the orchestra from Ukraine.<BR><BR>Our friends from Ukraine, last November they were still on stage in the Netherlands, now they are on the run,')"
24 Jun 2022, United Kingdom,,Birmingham,Centre Stage - Cello Ensemble,"return overlib('Ensemble to include  members of the CBSO Cello Section<BR><BR>Get closer to the CBSO musicians and discover one of Birmingham\'s best kept musical secrets, a series of short, informal concerts programmed and introduced by the musicians at CBSO Centre.<BR><BR>Mstislav Rostropovich described the cello')"
24 Jun 2022, USA,"Washington, D.C.","Washington, DC",Jurassic Park - In Concert,return overlib('John Williams - Jurassic Park<BR><BR>An adventure 65 million years in the making comes back to the big screen to celebrate John Williams’ 90th birthday. Watch Steven Spielberg’s Oscar-winning classic in high definition as the National Symphony Orchestra brings the composer’s iconic')
24 Jun 2022, Canada,,Winnipeg,The Gold Rush,"return overlib('Charles Chaplin - The Gold Rush<BR><BR>Alaska in 1898 – adventurers and adventurers come from all over the world to salvage the gold that lies dormant on the Yukon River. So does Charlie, who doesn\'t fit into the picture at all. But what use is the most beautiful vein of gold if, firstly, you')"
24 Jun 2022, USA,Georgia,Atlanta,Distant Worlds: Music of Final Fantasy,"return overlib('GRAMMY Award-winner Arnie Roth leads the Atlanta Symphony Orchestra and the Georgia Tech Chamber Choir – over 100 musicians on stage performing the beloved music of Nobuo Uematsu and others. With HD video from game developers SQUARE ENIX projected onto giant screens throughout the concerts, Di')"
24 Jun 2022, Ireland,,Dublin,"Saoirse? (directed by george morrison, 1961)","return overlib('Seán Ó Riada - Saoirse?<BR><BR>Film screening with performance of Seán Ó Riada score <BR>Léiriú den scannán ar scáileán agus an fuaimrian ceoil le Seán Ó Riada á sheinm ag ceolfhoireann shiansach<BR> <BR>SAOIRSE?, a ')"
24 Jun 2022, Mexico,,Mexico city,Commemorative Concert For The 75th Anniversary Of Inbal,"return overlib('Mario Lavista - Paráfrasis de Aura<BR>Silvestre Revueltas - Redes, music from the movie by Emilio Gómez & Fred Zinneman<BR>Carlos Chávez - Symophony no. 2 - India<BR>Gabriela Ortiz - Téenek<BR>Jose Pablo Moncayo - Huapango')"
24 Jun 2022, USA,Wisconsin,Milwaukee,Music of John Williams,"return overlib('Celebrate the iconic film scores that inspire the imaginations of children and adults alike through the music of legendary composer John Williams. From Indiana Jones to Superman, Jurassic Park to Star Wars, these instantly-recognizable Hollywood soundtracks are brought to life onstage with your MSO.')"
25 Jun 2022, United Kingdom,,London,Superman In Concert,"return overlib('John Williams - Superman<BR><BR>Celebrate Hollywood’s greatest cinematic superhero in 2021 as part of the Royal Albert Hall’s Films in Concert series.<BR><BR>Directed by Richard Donner, and showcasing a young Christopher Reeve, Superman (1978) features a star-studded cast including Margo')"
25 Jun 2022, France,,Nîmes,Festival de Nîmes: Gladiator Live,"return overlib('Hans Zimmer / Lisa Gerrard - Gladiator<BR><BR>For the first time in France GLADIATOR Live and in the open air in the Arènes de NÎMES; an exceptional cine-concert in a unique place in the world in perfect harmony with the film masterpiece!<BR><BR>On June 26, 2021 at the Arènes, th')"
25 Jun 2022, USA,North Carolina,Charlotte,Jurassic Park in Concert,"return overlib('John Williams - Jurassic Park<BR><BR>With stunning imagery, ground-breaking special effects -- and John Williams\'s iconic score -- Spielberg\'s epic tale of man vs. nature is sheer movie magic 65 million years in the making. Join your CSO for Jurassic Park as you\'ve never seen it before -- project')"
25 Jun 2022, France,,Paris,Jurassic World - in Concert,"return overlib('Michael Giacchino - Jurassic World<BR><BR>Starring Chris Pratt, Bryce Dallas Howard and B.D. Wong, Jurassic World earned a staggering $1.6 billion at the box office, and currently stands as the fifth top-grossing film of all time.<BR><BR>Set 22 years after the events of Jurassic Park, the Jurassic W')"
25 Jun 2022, Canada,,Toronto,Joe Hisaishi in Concert,"return overlib('The world-renowned Japanese composer-conductor Joe Hisaishi makes his impressive first appearance in Toronto in 2020!<BR><BR>Joe Hisaishi is the musical mastermind behind the score of numerous films, this symphonic concert celebrates his long and fruitful collaboration with the master of animated ci')"
25 Jun 2022, Belgium,,Antwerpen/Anvers (Antwerp),E.T. The Extra-Terrestrial (1982) in concert,"return overlib('John Williams - E.T. The Extra-Terrestrial<BR><BR>With nine Oscar nominations, ‘E.T. The Extra-Terrestrial’ from 1982 became Spielberg’s masterwork. The story is burned onto the brains of multiple generations. An alien creature who finds himself up lost on earth forges a moving fri')"
25 Jun 2022, USA,Montana,Bozeman,John Williams 90th Birthday Bonanza,"return overlib('The Bozeman Symphony presents an entire concert of music by John Williams. Hear your Bozeman Symphony perform themes from timeless classics such as E.T., Jurassic Park, Star Wars, and more. Test your John Williams knowledge with Norman’s curated trivia game: “Name that Theme.” This')"
25 Jun 2022, USA,Florida,Orlando,Harry Potter and the Order of the Phoenix™ in Concert,"return overlib('Nicholas Hooper - Harry Potter and the Order of the Phoenix<BR><BR>Experience your favorite movies transformed with the music of a live symphony orchestra in the Harry Potter™ Film Concert Series. For the first time ever, audiences can rediscover the magic of Harry Potter and the Order of the ')"
25 Jun 2022, USA,Texas,Dallas,Toy Story – Live in Concert,"return overlib('Randy Newman - Toy Story<BR><BR>The Dallas Symphony hosts Disney Concert’s newest live-to-picture concert event featuring the timeless classic film, Toy Story, accompanied by Randy Newman’s beloved score.<BR><BR>Bring your children and grandchildren to follow along as pull-string cowboy,')"
25 Jun 2022, Germany,,Stemwede,Flicker box music,return overlib('Film music classics<BR><BR>The exact program will be announced soon')
25 Jun 2022, Germany,,Berlin,Modern Times,"return overlib('You will laugh, you will cry and you will never forget the film.<BR><BR>Modern Times, USA 1936, R: Charlie Chaplin with Charles Chaplin, Paulette Goddard, Al Ernest Garcia, 89 min, OF<BR><BR>Charlie Chaplin is again in search of his little bit of happiness.<BR>This time it\'s not for gold in Alaska,')"
25 Jun 2022, USA,Illinois,Chicago,Grant Park Music Festival: Shostakovich Symphony No. 11,"return overlib('Grant Park Orchestra<BR>Carlos Kalmar, conductor<BR>Simone Lamsma, violin<BR><BR>Out of the Golden Age of Hollywood comes a gem of a violin concerto by the pioneering film composer Erich Korngold. The Dutch virtuoso violinist Simone Lamsma makes her Festival debut. Also, Carlos Kalmar conducts the r')"
25 Jun 2022, USA,Montana,Helena,A Night in Hollywood,"return overlib('Experience the fourth annual exclusive concert at the private estate of acclaimed European actors Nick Wilder & Christine Mayn. This red-carpet event features exquisite food, a cash bar, an incredible sunset, along with some of the greatest sounds from movie soundtracks. This is a MUST DO event ')"
25 Jun 2022, Portugal,,Oporto (Porto),Symphonic Arrábida,return overlib('Witchcraft and witches for all tastes populate the program that the Symphony Orchestra presents on its return to Arrábida Shopping. Souls that sell themselves to the devil and loves trapped by curses are some of the fantastic ingredients that shaped unforgettable symphonic works. From macabre')
25 Jun 2022, USA,Texas,Fort Worth,Star Wars and Beyond,return overlib('No further details are available at the moment.')
25 Jun 2022, USA,Georgia,Atlanta,Distant Worlds: Music of Final Fantasy,"return overlib('GRAMMY Award-winner Arnie Roth leads the Atlanta Symphony Orchestra and the Georgia Tech Chamber Choir – over 100 musicians on stage performing the beloved music of Nobuo Uematsu and others. With HD video from game developers SQUARE ENIX projected onto giant screens throughout the concerts, Di')"
25 Jun 2022, Netherlands,,Sittard,'Magic/Fantasy Movies' in concert,"return overlib('On Saturday 25 June 2022, Forum Sittard, in collaboration with Foroxity Filmarena, will present an evening full of film music! Enjoy the beautiful sounds of Het Nederlands Filmorkest, while they perform the best pieces of music from, among others, Lord of The Rings & Harry Potter in the oldest c')"
25 Jun 2022, Spain,,Illescas (Toledo),Fénix Tour,"return overlib('Film Symphony Orchestra returns to the stage with its new FÉNIX tour: an exciting show based on the best film music that represents the resurgence of life, art and culture. A thrill, a roar, a spectacular musical journey through the most iconic soundtracks that the seventh art has left us.<BR')"
25 Jun 2022, Hungary,,Budapest,A New World,return overlib('For the first time in Budapest<BR><BR>The producers of the live orchestra performance phenomenon Distant Worlds: music from FINAL FANTASY proudly present another breathtaking FINAL FANTASY music experience. A New World: intimate music from FINAL FANTASY performs music from throughout the FINAL FANTA')
25 Jun 2022, USA,New York,New York,Candlelight: Favorite Anime Themes at Irondale,"return overlib('Come enjoy an epic night paying tribute to some of the greatest anime of all time. This dazzling concert will feature timeless classics from iconic series like Naruto, Inuyasha, Dragon Ball, Sailor Moon, and more! The glow of the dim candlelight will create a serene atmosphere to accompany these bea')"
26 Jun 2022, Germany,,Stockach,Magische Reise,"return overlib('LA FINESSE delight fans of the genres of classical music, film music and pop alike.<BR><BR>Immerse yourself in the magical world of music with LA FINESSE, which says more than a thousand Words. They understand it like no other language to evoke emotions and the soul touch. It is the language of the ')"
26 Jun 2022, Germany,,Berlin,Two Steps From Hell live,"return overlib('Two Steps From Hell live. Thomas Bergersen and Nick Phoenix will present their music known not only from blockbusters<BR><BR>Whenever huge emotions, tense anticipation and breathtaking intensity are in the air, the sound of Two Steps from Hell isn\'t far away. Composers Thomas Bergersen and Nick Pho')"
26 Jun 2022, USA,Pennsylvania,Johnstown,Ready for Takeoff!,"return overlib('When was the last time you heard an orchestra play in a hangar from your seat on the tarmac? You’ve come to expect the unexpected from your JSO, and so here goes...announcing our first-ever, one-night-only airport concert, with a star-studded program with music from Top Gun, Jefferson Airpla')"
